time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,mu,omega_dot_x,omega_dot_y,omega_dot_z
2.75,0.8763918371292315,-0.03978314363569293,0.4799488463608536,-0.9178583454075998,-0.6645750271020175,0.25084746471289454,2.6844038894687285,2.8583466234037953,-3.5640263489559723,0.05735686779158667
2.8000000000000003,0.8580145758782067,-0.00795848675045275,0.5135601348564924,-0.7630704418525687,-0.8362772227670188,0.25353580468505105,2.4730777998296336,3.312786960441041,-3.2854079940779672,0.050176473729695796
2.85,0.833533715613669,0.020822104047567857,0.5520729315638451,-0.5887196142166482,-0.9913411007233434,0.255865345893015,2.2596935148798822,3.6388294062891378,-2.9003060920117067,0.04301010809685765
2.9000000000000004,0.8027056649118646,0.04551229727491081,0.5946335092993715,-0.401492524140162,-1.1247616460818952,0.2578375446286138,2.053185044621765,3.8265704771468076,-2.4224330367677958,0.03588749049663807
2.95,0.765523992590795,0.06504087098876021,0.6401091567495163,-0.2084531445381278,-1.2323544492441814,0.25945527199531465,1.8560028719167818,3.8708768658348545,-1.8707626721673964,0.028835496054568477
3.0,0.7222942929431009,0.07840766763091869,0.6871248143733535,-0.0167963590222229,-1.3109949327238095,0.26072267192915083,1.6682131057077014,3.7716919665901187,-1.2685134730774732,0.02187816331731072
3.0500000000000003,0.6736830322362612,0.08479985575362559,0.7341374279885814,0.1664127614940529,-1.358797287417659,0.2616450190981979,1.4950933677285863,3.534309629735509,-0.6417537259313644,0.015036676849181752
3.1,0.6207256797635186,0.08371132837043771,0.7795446865779138,0.3345132252471005,-1.3752144976086806,0.26222857494144874,1.3537760700960217,3.169644570627243,-0.017645516289330754,0.008329310023835126
3.1500000000000004,0.5647856871147204,0.07504363604839714,0.8218173054523585,0.4815352381939476,-1.3610432135472825,0.2624804402152962,1.2610528390844478,2.6944606897491945,0.5775802233112762,0.0017713500813766265
3.2,0.5074656051555446,0.05916679896556709,0.8596372649699802,0.6024931544040468,-1.3183272907329924,0.2624084050491378,1.2122910405394693,2.1313084197927537,1.120557035585522,-0.004624903887997748
3.25,0.45048204480727944,0.03692390624273374,0.8920207056774199,0.6936607867462238,-1.2501774101718628,0.2620208029113343,1.1887765679322402,1.5078385442163564,1.592139836871831,-0.0108499727671022
3.3000000000000003,0.3955238744188433,0.009574089860309248,0.9184049358876851,0.7527946047224248,-1.1605407343927852,0.2613263773030789,1.1761964474972826,0.8554244224444938,1.978076997339595,-0.0168968698071308
3.35,0.34411597705122976,-0.021318602888604873,0.9386842415576255,0.7792732521990299,-1.053949829592236,0.26033416727802694,1.1685058837048614,0.20721169317403465,2.2692070085474043,-0.022760686002817904
